Site,Name,Country,Region,Continent,Language
https://addisstandard.com/,Addis Standard,Ethiopia,East Africa,Africa,English
https://www.asmarino.com/news,Asmarino,Eritrea,East Africa,Africa,English
http://awate.com/,Awate,Eritrea,East Africa,Africa,English
https://nation.africa/kenya,Daily Nation,Kenya,East Africa,Africa,English
https://www.standardmedia.co.ke/,The Standard,Kenya,East Africa,Africa,English
https://malawi24.com/,Malawi24,Malawi,East Africa,Africa,English
https://www.therwandan.com/,The Rwandan,Rwanda,East Africa,Africa,English
https://mareeg.com/news/somalia/,Mareeg,Somalia,East Africa,Africa,English
https://www.thecitizen.co.tz/,The Citizen,Tanzania,East Africa,Africa,English
https://www.monitor.co.ug/,The Daily Monitor,Uganda,East Africa,Africa,English
https://www.newsday.co.zw/,NewsDay,Zimbabwe,East Africa,Africa,English
https://thepoint.gm/,The Point,Gambia,West Africa,Africa,English
https://thechronicle.com.gh/,The Chronicle,Ghana,West Africa,Africa,English
https://dailyguidenetwork.com/,Daily Guide,Ghana,West Africa,Africa,English
https://frontpageafricaonline.com/,FrontPage Africa,Liberia,West Africa,Africa,English
https://tribuneonlineng.com/,Nigerian Tribune,Nigeria,West Africa,Africa,English
https://awokonewspaper.sl/,Awoko Times,Sierra Leone,West Africa,Africa,English
https://www.mmegi.bw/,Mmegi,Botswana,South Africa,Africa,English
https://publiceyenews.com/,Public Eye,Lesotho,South Africa,Africa,English
https://www.namibiansun.com/,Namibian Sun,Namibia,South Africa,Africa,English
https://mg.co.za/,Mail & Guardian,South Africa,South Africa,Africa,English
https://ethiopianmonitor.com/,Ethiopian Monitor,Ethiopia,East Africa,Africa,English
https://www.the-star.co.ke/,The Star,Kenya,East Africa,Africa,English
https://www.mwnation.com/,The Nation,Malawi,East Africa,Africa,English
https://www.garoweonline.com/en,Garowe Online,Somalia,East Africa,Africa,English
https://www.chronicle.co.zw/,The Chronicle,Zimbabwe,East Africa,Africa,English
https://www.thegazette.news/,Botswana Gazette,Botswana,South Africa,Africa,English
https://www.namibian.com.na/,The Namibian,Namibia,South Africa,Africa,English
https://www.iol.co.za/dailynews,IOL Daily News,South Africa,South Africa,Africa,English
https://standard.gm/,The Standard,Gambia,West Africa,Africa,English
https://analystliberiaonline.com/,The Analyst,Liberia,West Africa,Africa,English
https://www.theinquirernewspaper.com/,The Inquirer,Liberia,West Africa,Africa,English
https://punchng.com/,The Punch,Nigeria,West Africa,Africa,English
https://www.vanguardngr.com/,Vanguard,Nigeria,West Africa,Africa,English
