Site,Name,Country,Region,Continent,Language
https://www.afghanistantimes.af/,Afghanistan Times,Afghanistan,South Asia,Asia,English
http://outlookafghanistan.net/,The Daily Outlook Afghanistan,Afghanistan,South Asia,Asia,English
https://thekabultimes.gov.af/,The Kabul Times,Afghanistan,South Asia,Asia,English
https://www.thenews.com.pk/latest/category/national,The News International,Pakistan,South Asia,Asia,English
https://www.dawn.com/pakistan,Dawn,Pakistan,South Asia,Asia,English
https://en.dailypakistan.com.pk/,Daily Pakistan,Pakistan,South Asia,Asia,English
https://tribune.com.pk/,The Express Tribune,Pakistan,South Asia,Asia,English
https://www.thehindu.com/,The Hindu,India,South Asia,Asia,English
https://indianexpress.com/section/india/,Indian Express,India,South Asia,Asia,English
https://www.hindustantimes.com/,Hindustan Times,India,South Asia,Asia,English
https://www.indiatoday.in/india,India Today,India,South Asia,Asia,English
https://thehimalayantimes.com/,The Himalayan Times,Nepal,South Asia,Asia,English
https://kathmandupost.com/,Kathmandu Post,Nepal,South Asia,Asia,English
https://myrepublica.nagariknetwork.com/,My Republica,Nepal,South Asia,Asia,English
http://www.bhutantoday.bt/,Bhutan Today,Bhutan,South Asia,Asia,English
https://bhutantimes.bt/,Bhutan Times,Bhutan,South Asia,Asia,English
https://thebhutanese.bt/,The Bhutanese,Bhutan,South Asia,Asia,English
https://www.thedailystar.net/english,The Daily Star,Bangladesh,South Asia,Asia,English
https://thebangladeshtoday.com/,The Bangladesh Today,Bangladesh,South Asia,Asia,English
https://www.observerbd.com/,The Daily Observer,Bangladesh,South Asia,Asia,English
https://island.lk/category/news/,The Island,Sri Lanka,South Asia,Asia,English
https://www.dailymirror.lk/,Daily Mirror,Sri Lanka,South Asia,Asia,English
http://www.dailynews.lk/,Daily News,Sri Lanka,South Asia,Asia,English
https://astanatimes.com/category/central-asia/,Astana Times,Kazakhstan,Central Asia,Asia,English
https://www.inform.kz/en/politics_g41,Inform,Kazakhstan,Central Asia,Asia,English
https://www.kt.kz/eng,Kazakhstan Today,Kazakhstan,Central Asia,Asia,English
https://24.kg/english/,24.kg,Kyrgyzstan,Central Asia,Asia,English
https://akipress.com/,AKI Press,Kyrgyzstan,Central Asia,Asia,English
https://www.tajikistannews.net/,Tajikistan News,Tajikistan,Central Asia,Asia,English
https://asiaplustj.info/en,Asia Plus,Tajikistan,Central Asia,Asia,English
https://www.turkmenistan.ru/en/taxonomy/term/3,Turkmenistan.ru,Turkmenistan,Central Asia,Asia,English
https://en.turkmen.news/,Turkmen.news,Turkmenistan,Central Asia,Asia,English
