Site,Name,Country,Region,Continent,Language
https://eng.belta.by/,Belta,Belarus,Eastern Europe,Europe,English
https://minskherald.com/,Minsk Herald,Belarus,Eastern Europe,Europe,English
https://www.kyivpost.com/,Kyiv Post,Ukraine,Eastern Europe,Europe,English
https://www.ukrinform.net/block-lastnews,Ukrinform,Ukraine,Eastern Europe,Europe,English
https://day.kyiv.ua/en/newspaper,Den,Ukraine,Eastern Europe,Europe,English
https://www.moldpres.md/en/,Moldpres,Moldova,Eastern Europe,Europe,English
https://www.moldova.org/en/category/politics/,Moldova.org,Moldova,Eastern Europe,Europe,English
https://www.romaniajournal.ro/,The Romania Journal,Romania,Eastern Europe,Europe,English
https://www.romania-insider.com/,Romania Insider,Romania,Eastern Europe,Europe,English
https://www.nineoclock.ro/,Nine O' Clock,Romania,Eastern Europe,Europe,English
https://www.novinite.com/,Novinite.com,Bulgaria,Eastern Europe,Europe,English
http://www.bta.bg/en,Bulgarian News Agency,Bulgaria,Eastern Europe,Europe,English
https://www.polskieradio.pl/395,Polskie Radio,Poland,Eastern Europe,Europe,English
"https://wyborcza.pl/0,173236.html?disableRedirects=false/en",Wyborcza.pl,Poland,Eastern Europe,Europe,English
http://www.krakowpost.com/,Krakow Post,Poland,Eastern Europe,Europe,English
https://praguemonitor.com/,Prague Monitor,Czechia,Eastern Europe,Europe,English
https://english.radio.cz/,Radio Prague International,Czechia,Eastern Europe,Europe,English
https://www.praguepost.com/,Prague Post,Czechia,Eastern Europe,Europe,English
https://spectator.sme.sk/,The Slovak Spectator,Slovakia,Eastern Europe,Europe,English
https://hungarytoday.hu/,Hungary Today,Hungary,Eastern Europe,Europe,English
https://www.budapesttimes.hu/,Budapest Times,Hungary,Eastern Europe,Europe,English
https://dailynewshungary.com/,Daily News Hungary,Hungary,Eastern Europe,Europe,English
https://www.themoscowtimes.com/,The Moscow Times,Russia,Eastern Europe,Europe,English
https://tass.com/,TASS,Russia,Eastern Europe,Europe,English
https://meduza.io/en,Meduza,Russia,Eastern Europe,Europe,English
https://english.elpais.com/,EL PAÍS,Spain,Southern Europe,Europe,English
https://www.thelocal.es/category/spain-news/,The Local (Spain),Spain,Southern Europe,Europe,English
https://www.spainenglish.com/,Spain in English,Spain,Southern Europe,Europe,English
https://www.thelocal.it/,The Local (Italy),Italy,Southern Europe,Europe,English
https://www.ansa.it/english/news/general_news/general_news.shtml,ANSA English,Italy,Southern Europe,Europe,English
https://www.lastampa.it/esteri/la-stampa-in-english/,La Stampa,Italy,Southern Europe,Europe,English
https://www.ekathimerini.com/,eKathimerini,Greece,Southern Europe,Europe,English
https://www.keeptalkinggreece.com/,Keep Talking Greece,Greece,Southern Europe,Europe,English
https://greekreporter.com/greek-news/,Greek News,Greece,Southern Europe,Europe,English
https://www.tiranatimes.com/,Tirana Times,Albania,Southern Europe,Europe,English
https://www.albaniandailynews.com/,Albanian Daily News,Albania,Southern Europe,Europe,English
https://www.gazetatema.net/eng/,Gazeta Tema,Albania,Southern Europe,Europe,English
https://kosovapress.com/en/,Kosova Press,Kosovo,Southern Europe,Europe,English
https://balkaninsight.com/balkan-transitional-justice-home/balkan-transitional-justice-kosovo-news/,Balkan Insight (Kosovo),Kosovo,Southern Europe,Europe,English
https://skopjediem.com/,Skopje Diem,North Macedonia,Southern Europe,Europe,English
https://english.republika.mk/,Republika English,North Macedonia,Southern Europe,Europe,English
https://balkaninsight.com/all-the-news-from-north-macedonia/,Balkan Insight (North Macedonia),North Macedonia,Southern Europe,Europe,English
https://balkaninsight.com/balkan-transitional-justice-home/balkan-transitional-justice-serbia-news/,Balkan Insight (Serbia),Serbia,Southern Europe,Europe,English
https://www.euronews.com/tag/serbia,Euro News (Serbia),Serbia,Southern Europe,Europe,English
https://www.b92.net/eng/,b92,Serbia,Southern Europe,Europe,English
https://sarajevotimes.com/,Sarajevo Times,Bosnia and Herzegovina,Southern Europe,Europe,English
https://www.euronews.com/tag/bosnia-and-herzegovina,Euro News (Bosnia and Herzegovina),Bosnia and Herzegovina,Southern Europe,Europe,English
https://www.total-croatia-news.com/news,Total Croatia News,Croatia,Southern Europe,Europe,English
https://www.thedubrovniktimes.com/news/croatia,The Dubrovnik Times,Croatia,Southern Europe,Europe,English
https://www.euronews.com/tag/croatia,Euro News (Croatia),Croatia,Southern Europe,Europe,English
https://sloveniatimes.com/,Slovenia Times,Slovenia,Southern Europe,Europe,English
https://english.sta.si/,STA Slovenia,Slovenia,Southern Europe,Europe,English
https://www.euronews.com/tag/slovenia,Euro News (Slovenia),Slovenia,Southern Europe,Europe,English
https://cyprus-mail.com/,Cyprus Mail,Cyprus,Southern Europe,Europe,English
https://knews.kathimerini.com.cy/en/?r=1,Knews Kathimerini,Cyprus,Southern Europe,Europe,English
https://in-cyprus.philenews.com/,in-cyprus,Cyprus,Southern Europe,Europe,English
