Site,Name,Country,Region,Continent,Language
https://www.egyptindependent.com/,Egypt Independent,Egypt,North Africa,MENA,English
https://www.libyaherald.com/,Libya Herald,Libya,North Africa,MENA,English
https://www.libyaobserver.ly/,The Libya Observer,Libya,North Africa,MENA,English
https://www.libyatimes.net/,The Libya Times,Libya,North Africa,MENA,English
https://www.thetripolipost.org/,The Tripoli Post,Libya,North Africa,MENA,English
https://www.libyanexpress.com/,Libyan Express,Libya,North Africa,MENA,English
https://www.moroccoworldnews.com/,Morocco World News,Morocco,North Africa,MENA,English
https://moroccotimes.tv/category/morocco-news/,Morocco Times,Morocco,North Africa,MENA,English
https://tdailynews.net/,Tunis Daily News,Tunisia,North Africa,MENA,English
https://www.tunisia-live.net/,Tunisia Live,Tunisia,North Africa,MENA,English
https://www.en.mabapost.tn/,MABAPOST,Tunisia,North Africa,MENA,English
https://thetunistimes.com/,The Tunis Times,Tunisia,North Africa,MENA,English
https://www.egypttoday.com/Section/News/1,Egypt Today,Egypt,North Africa,MENA,English
https://dailynewsegypt.com/,Daily News Egypt,Egypt,North Africa,MENA,English
https://egyptindependent.com/,Egypt Independent,Egypt,North Africa,MENA,English
https://english.ahram.org.eg/Portal/1/Egypt.aspx,Ahram Online,Egypt,North Africa,MENA,English
https://egyptianstreets.com/category/news-politics-and-society/,Egyptian Streets,Egypt,North Africa,MENA,English
https://www.dailysabah.com/politics,Daily Sabah,Turkey,Middle East,MENA,English
https://turkeygazette.com/,Turkey Gazette,Turkey,Middle East,MENA,English
https://www.hurriyetdailynews.com/,Hürriyet Daily News,Turkey,Middle East,MENA,English
https://www.yenisafak.com/en/,Yeni Safak,Turkey,Middle East,MENA,English
http://syriatimes.sy/index.php/news/national,Syria Times,Syria,Middle East,MENA,English
https://news.sn4hr.org/,Syrian Network for Human Rights,Syria,Middle East,MENA,English
https://www.naharnet.com/,Naharnet,Lebanon,Middle East,MENA,English
https://kataeb.org/en,Kataeb.org,Lebanon,Middle East,MENA,English
https://cedarnews.net/category/english/,Cedar News,Lebanon,Middle East,MENA,English
https://www.iraqinews.com/iraq/,Iraqi News,Iraq,Middle East,MENA,English
https://ina.iq/eng/politics/,Iraqi News Agency,Iraq,Middle East,MENA,English
https://www.tehrantimes.com/,Tehran Times,Iran,Middle East,MENA,English
https://irandaily.ir/Service/3.html,Iran Daily,Iran,Middle East,MENA,English
https://ifpnews.com/,Iran Front Page,Iran,Middle East,MENA,English
https://www.jordantimes.com/,Jordan Times,Jordan,Middle East,MENA,English
https://www.jordannews.jo/Category/1/National,Jordan News,Jordan,Middle East,MENA,English
https://www.haaretz.com/,Haaretz,Israel,Middle East,MENA,English
https://hamodia.com/category/israel-news/,Hamodia,Israel,Middle East,MENA,English
https://www.jpost.com/,The Jerusalem Post,Israel,Middle East,MENA,English
https://www.palestineherald.com/news/,Palestine Herald-Press,Palestine,Middle East,MENA,English
https://saudigazette.com.sa/,Saudi Gazette,Saudi Arabia,Middle East,MENA,English
https://www.arabnews.com/,Arab News,Saudi Arabia,Middle East,MENA,English
http://www.arabtimesonline.com/news/#,Arab Times,Kuwait,Middle East,MENA,English
https://www.kuwaittimes.com/,Kuwait Times,Kuwait,Middle East,MENA,English
https://www.newsofbahrain.com/,Daily Tribune,Bahrain,Middle East,MENA,English
https://www.gdnonline.com/GroupSection/News,Gulf Daily News,Bahrain,Middle East,MENA,English
https://gulf-times.com/stories/c/178/0/Qatar,Gulf Times,Qatar,Middle East,MENA,English
https://www.qatar-tribune.com/,Qatar Tribune,Qatar,Middle East,MENA,English
https://thepeninsulaqatar.com/category/Middle-East,The Peninsula,Qatar,Middle East,MENA,English
https://www.qatarchronicle.com/category/politics/,Qatar Chronicle,Qatar,Middle East,MENA,English
https://www.gulftoday.ae/,Gulf Today,UAE,Middle East,MENA,English
https://gulfnews.com/,Gulf News,UAE,Middle East,MENA,English
https://www.khaleejtimes.com/uae,Khaleej Times,UAE,Middle East,MENA,English
https://www.omanobserver.om/oman,Oman Daily Observer,Oman,Middle East,MENA,English
https://timesofoman.com/,Times of Oman,Oman,Middle East,MENA,English
https://www.muscatdaily.com/,Muscat Daily,Oman,Middle East,MENA,English
http://www.yemenpost.net/,Yemen Post,Yemen,Middle East,MENA,English
https://web.archive.org/web/20050211200440/http://www.yementimes.com/,Yemen Times,Yemen,Middle East,MENA,English
