Headline,Category,Name,Country,Region,Continent,Site,Collected
"Nigeria must actively join fourth industrial revolution in 2022 — Blockchain Tech Expert, Keith Mali",none,Vanguard,Nigeria,West Africa,Africa,https://www.vanguardngr.com/,20220117
Citizens Want Patriots Remembered Nationally,none,The Inquirer,Liberia,West Africa,Africa,https://www.theinquirernewspaper.com/,20220117
How soldiers shot at traffic officer towing army vehicle,none,The Daily Monitor,Uganda,East Africa,Africa,https://www.monitor.co.ug/,20220117
Ethiopia lashes out at WHO chief for Tigray war remarks,none,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220117
OIC condemns terrorist attack in Somalia,none,Mareeg,Somalia,East Africa,Africa,https://mareeg.com/news/somalia/,20220117
IGAD Condemns Mogadishu Terror Attack,none,Ethiopian Monitor,Ethiopia,East Africa,Africa,https://ethiopianmonitor.com/,20220117
Is judiciary to blame for hate speech impasse?,none,The Star,Kenya,East Africa,Africa,https://www.the-star.co.ke/,20220117
Luna Al-Shebl: Breaking the blockade is one of the Syrian state’s defensive ways to confront the war,none,Syria Times,Syria,Middle East,MENA,http://syriatimes.sy/index.php/news/national,20220120
France announces departure of 300 mercenaries from eastern Libya,none,The Libya Observer,Libya,North Africa,MENA,https://www.libyaobserver.ly/,20220120
JMC announces deportation of 300 mercenaries belong to Haftar's forces,none,The Libya Observer,Libya,North Africa,MENA,https://www.libyaobserver.ly/,20220120
Egypt condemns Houthi terrorist attack on UAE after 3 killed in oil tanker explosions,none,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220120
Revealing The Details On Cllr./Dr. Arthur T. Johnson Book On War &…,none,FrontPage Africa,Liberia,West Africa,Africa,https://frontpageafricaonline.com/,20220124
"Peter Moyo, Ngwazi take sungura war to Chiweshe",none,NewsDay,Zimbabwe,East Africa,Africa,https://www.newsday.co.zw/,20220124
UN condemns deadly air strike on Yemen prison,none,NewsDay,Zimbabwe,East Africa,Africa,https://www.newsday.co.zw/,20220124
"VIDEO: Innocent Beninese tiler jailed after ENDSARS protest, freed 14 months later",none,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220124
"US, Russia hold last-ditch talks on Ukraine war fears",none,The Citizen,Tanzania,East Africa,Africa,https://www.thecitizen.co.tz/,20220124
Tackling insurgency and terrorism,none,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220124
Tripoli court issues death penalty for Jihadi who fought government forces in Benghazi,none,The Libya Times,Libya,North Africa,MENA,https://www.libyatimes.net/,20220124
"Egypt, EU to run for president of Global Counter-Terrorism Forum’s coordinating committee meeting",none,Egypt Today,Egypt,North Africa,MENA,https://www.egypttoday.com/Section/News/1,20220124
