Headline,Category,Name,Country,Region,Continent,Site,Collected
YPG/PKK suicide attack in Syria's Afrin foiled,terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220529
Palestinian protesters clash with Israeli soldiers,social_unrest,in-cyprus,Cyprus,Southern Europe,Europe,https://in-cyprus.philenews.com/,20220529
UAE condemns terrorist bombing on mosque in Kabul,terrorism,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220529
18 PKK militants killed in northern Iraq,terrorism,Iraqi News,Iraq,Middle East,MENA,https://www.iraqinews.com/iraq/,20220529
Homa Bay declares war on Aids,military_conflict,The Star,Kenya,East Africa,Africa,https://www.the-star.co.ke/,20220529
"Ten terrorists killed, one arrested in a raid on hideout in North Sinai",terrorism,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220529
Three left-wing activists arrested for intent to protest at West Bank outpost (Haaretz),social_unrest,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220529
"African Leaders to Scale up Efforts against Coup, Terrorism, Foreign Mercenaries",terrorism,Ethiopian Monitor,Ethiopia,East Africa,Africa,https://ethiopianmonitor.com/,20220529
Somalia: Al Shabab attack kills two soldiers near Marka town,terrorism,Mareeg,Somalia,East Africa,Africa,https://mareeg.com/news/somalia/,20220529
PKK kills 2 minors during attack in northern Iraq: KRG,terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220529
"Serbian War Crimes Prosecution ‘Extremely Inefficient’, Report Says",military_conflict,Balkan Insight (Serbia),Serbia,Southern Europe,Europe,https://balkaninsight.com/balkan-transitional-justice-home/balkan-transitional-justice-serbia-news/,20220529
Message of Historical Revolution,regime_instability,The Daily Outlook Afghanistan,Afghanistan,South Asia,Asia,http://outlookafghanistan.net/,20220529
July 15 failed coup attempt turning point in history: Altun,regime_instability,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220529
NDF soldier fatally shoots himself,military_conflict,The Namibian,Namibia,South Africa,Africa,https://www.namibian.com.na/,20220529
UN security council slams terrorist attack on AU troops in Somalia,terrorism,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220529
Burkina Faso Sees More Child Soldiers as  Jihadi Attacks Rise,terrorism,The Daily Outlook Afghanistan,Afghanistan,South Asia,Asia,http://outlookafghanistan.net/,20220529
10 terrorists killed in North Sinai hideout amid ongoing military campaign,terrorism,Egypt Today,Egypt,North Africa,MENA,https://www.egypttoday.com/Section/News/1,20220529
Sri Lanka police tear gas student protesters in fresh clashes,social_unrest,The Hindu,India,South Asia,Asia,https://www.thehindu.com/,20220529
Third in polls Asks Candidates to Unite against Bolsonaro's Coup Attempt,regime_instability,Folha International,Brazil,South America,Latin America,https://www1.folha.uol.com.br/internacional/en/,20220529
Prosecutors Add More War Crime Charges Against Kosovo Ex-President,military_conflict,Balkan Insight (Kosovo),Kosovo,Southern Europe,Europe,https://balkaninsight.com/balkan-transitional-justice-home/balkan-transitional-justice-kosovo-news/,20220529
Kosovo Criticised for Slow Progress in Prosecuting War Crimes,military_conflict,Balkan Insight (Kosovo),Kosovo,Southern Europe,Europe,https://balkaninsight.com/balkan-transitional-justice-home/balkan-transitional-justice-kosovo-news/,20220529
Empress Gifty Joins Fight Against Terrorism,terrorism,Daily Guide,Ghana,West Africa,Africa,https://dailyguidenetwork.com/,20220529
Bukele's Brewing Default Crisis,terrorism,El Faro,El Salvador,Central America,Latin America,https://elfaro.net/es/casos/ef_english,20220529
Probers claim QC jail riot ‘staged’ to oust warden,regime_instability,INQUIRER.net,Phillipines,Southeast Asia,Asia,https://newsinfo.inquirer.net/,20220529
Why State mafia allies threaten Colombia’s democracy,organized_crime,Colombia Reports,Colombia,South America,Latin America,https://colombiareports.com/colombia-news/,20220529
"1 hr
Sri Lanka police tear gas student protesters in fresh clashes",social_unrest,The Hindu,India,South Asia,Asia,https://www.thehindu.com/,20220529
Latest:   Somalia: Al Shabab attack kills two soldiers near Marka town,terrorism,Mareeg,Somalia,East Africa,Africa,https://mareeg.com/news/somalia/,20220529
Meduza and the war,military_conflict,Meduza,Russia,Eastern Europe,Europe,https://meduza.io/en,20220529
Former Bosniak officials charged with war crimes over 1992 attack,military_conflict,Euro News (Bosnia and Herzegovina),Bosnia and Herzegovina,Southern Europe,Europe,https://www.euronews.com/tag/bosnia-and-herzegovina,20220529
"Families make history with 1,000-day anti-PKK sit-in protest: Altun",social_unrest,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220529
Christian Religious Fundamentalism in Kenya; What do we know about it?,terrorism,The Standard,Kenya,East Africa,Africa,https://www.standardmedia.co.ke/,20220529
Countries backing terror groups won’t be in NATO: Erdoğan,terrorism,H�rriyet Daily News,Turkey,Middle East,MENA,https://www.hurriyetdailynews.com/,20220529
Anti-War Artist Flees Russia After Thwarted Victory Day Protest,social_unrest,The Moscow Times,Russia,Eastern Europe,Europe,https://www.themoscowtimes.com/,20220529
The Priorities of My Compatriots,social_unrest,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220529
‘Hulk’ joins Guyana’s protest against...,social_unrest,Kaieteur News,Guyana,South America,Latin America,https://www.kaieteurnewsonline.com/,20220529
"Sweden does not finance terrorism, Stockholm claims",terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220529
IDF forces operating near Jenin in the village of terrorists from Thursday's attack (Haaretz),terrorism,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220529
Bosnia arrests 5 former Muslim soldiers for war crimes against Serbs,military_conflict,Euro News (Bosnia and Herzegovina),Bosnia and Herzegovina,Southern Europe,Europe,https://www.euronews.com/tag/bosnia-and-herzegovina,20220529
Mazola highlights Garden of Xaymaca,terrorism,Jamaica Gleaner,Jamaica,Caribbean,Latin America,https://jamaica-gleaner.com/,20220529
UAE: Gang stealing catalytic converters busted in 24 hours,organized_crime,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220529
How Russians view the war,military_conflict,Meduza,Russia,Eastern Europe,Europe,https://meduza.io/en,20220529
Al-Fayez meets Cypriot deputy tourism minister,social_unrest,Jordan News,Jordan,Middle East,MENA,https://www.jordannews.jo/Category/1/National,20220529
Oyetola’s compensation of Osun EndSARS victims,terrorism,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220529
Sickle cell and abdominal pain crisis,terrorism,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220529
Three Paths for Counterterrorism after  the Afghanistan Withdrawal,terrorism,The Daily Outlook Afghanistan,Afghanistan,South Asia,Asia,http://outlookafghanistan.net/,20220529
Italy's seas feel the climate-crisis heat-Greenpeace,terrorism,ANSA English,Italy,Southern Europe,Europe,https://www.ansa.it/english/news/general_news/general_news.shtml,20220529
"DESPITE CRISIS, BRAZIL EXPERIENCES STARTUP BOOM",terrorism,Plus55,Brazil,South America,Latin America,https://web.archive.org/web/20160926212107/http://plus55.com/,20220529
Turkey cannot say 'yes' to countries supporting terrorism: Erdoğan,terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220529
Talking Blues: The making of a revolution,regime_instability,Malawi24,Malawi,East Africa,Africa,https://malawi24.com/,20220529
"A Revolution for youth, and with them",regime_instability,Granma,Cuba,Caribbean,Latin America,https://en.granma.cu/,20220529
"Watch: UAE seizes 600,000 drug capsules concealed in stones, gang arrested",organized_crime,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220529
EDITORIAL: Liberia’s losing War on Rape,military_conflict,The Analyst,Liberia,West Africa,Africa,https://analystliberiaonline.com/,20220529
Train Attack: Terrorists withdraw threat to start killing abducted passengers  — Mamu,terrorism,Vanguard,Nigeria,West Africa,Africa,https://www.vanguardngr.com/,20220529
The long war and its collaterals,military_conflict,Cyprus Mail,Cyprus,Southern Europe,Europe,https://cyprus-mail.com/,20220529
Female workers protest on International Women's Day,social_unrest,Antara News,Indonesia,Southeast Asia,Asia,https://en.antaranews.com/,20220529
Cypriot wineries band together for better promotion,social_unrest,Cyprus Mail,Cyprus,Southern Europe,Europe,https://cyprus-mail.com/,20220529
Bogotá motorcyclists protest district’s new security measures,social_unrest,The City Paper Bogot�,Colombia,South America,Latin America,https://thecitypaperbogota.com/,20220529
Watch: Mysterious chariot washes ashore in Andhra,social_unrest,Gulf News,UAE,Middle East,MENA,https://gulfnews.com/,20220529
NATO's strategic concept should fight all forms of terrorism: FM,terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220529
Erdogan says won't let 'terrorism-supporting' countries enter NATO - report,terrorism,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220529
Martyrs’ Day could be unlike the past,terrorism,The Daily Monitor,Uganda,East Africa,Africa,https://www.monitor.co.ug/,20220529
Averting the ECOWAS/FAO prediction on food crisis,terrorism,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220529
Pakistan's economy: Sleepwalking from crisis to crisis,terrorism,The Express Tribune,Pakistan,South Asia,Asia,https://tribune.com.pk/,20220529
Cost-of-living crisis forces more Brits to foodbanks,terrorism,The Daily Star,Bangladesh,South Asia,Asia,https://www.thedailystar.net/english,20220529
Tipu discounts wheat crisis amid rising price,terrorism,The Bangladesh Today,Bangladesh,South Asia,Asia,https://thebangladeshtoday.com/,20220529
