Headline,Category,Name,Country,Region,Continent,Site,Collected
The protesters have ransacked the President’s House.,regime_instability,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220716
"Lt Col Laiq Baig Mirza embraces martyrdom after terrorists abduct, shoot him: ISPR",terrorism,The News International,Pakistan,South Asia,Asia,https://www.thenews.com.pk/latest/category/national,20220716
"Again, terrorists abduct two Kaduna Catholic priests",terrorism,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220716
The failed coup attempt of 2016,regime_instability,Kathmandu Post,Nepal,South Asia,Asia,https://kathmandupost.com/,20220716
"Sea Pirates rob Rev Sister, kidnap passengers in Calabar[Video]",terrorism,Vanguard,Nigeria,West Africa,Africa,https://www.vanguardngr.com/,20220716
FARC dissident leader killed in southern Colombia: defense minister,terrorism,Colombia Reports,Colombia,South America,Latin America,https://colombiareports.com/colombia-news/,20220716
A failed coup attempt and the triumph of democracy,regime_instability,Antara News,Indonesia,Southeast Asia,Asia,https://en.antaranews.com/,20220716
Romanian military prosecutors to probe Russian war crimes…,military_conflict,Nine O' Clock,Romania,Eastern Europe,Europe,https://www.nineoclock.ro/,20220716
The United States declares war on the world,military_conflict,�ltimas Noticias,Venezuela,South America,Latin America,https://en.ultimasnoticias.com.ve/,20220716
How many war crimes has Russia allegedly committed?,military_conflict,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220716
Live: Protest near Parliament,social_unrest,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220716
July 15 coup attempt 'attack on democracy': former US envoy Jeffrey,regime_instability,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220716
Coup attempt was to stop Turkey's rise as regional power: Şentop,regime_instability,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220716
'Terrorism Has No Nationality or Religion',terrorism,Albanian Daily News,Albania,Southern Europe,Europe,https://www.albaniandailynews.com/,20220716
"ISIS leader killed in Syria in American strike, U.S. officials say (Haaretz)",terrorism,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220716
Economic woes are setting the scene for another uprising,regime_instability,Mail & Guardian,South Africa,South Africa,Africa,https://mg.co.za/,20220716
Turkish nation made history on July 15 by defeating coup attempt: Erdoğan,regime_instability,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220716
Colombia’s war crimes tribunal inquiring about Uribe’s alleged paramilitary ties,military_conflict,Colombia Reports,Colombia,South America,Latin America,https://colombiareports.com/colombia-news/,20220716
"Nine civilians slain by terror group in Nduga, Papua",terrorism,Antara News,Indonesia,Southeast Asia,Asia,https://en.antaranews.com/,20220716
"“Terrorism has no nationality, ethnicity nor religion”",terrorism,Ethiopian Monitor,Ethiopia,East Africa,Africa,https://ethiopianmonitor.com/,20220716
Political instability and worsening economic crisis hit hotels sector hard,regime_instability,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220716
"Terrorism has no nationality, ethnicity nor religion",terrorism,Taiwan News,Taiwan,East Asia,Asia,https://www.taiwannews.com.tw/en/index,20220716
Families of students killed in 2014 Peshawar army school attack move court against Pak govt-TTP talks,military_conflict,Tajikistan News,Tajikistan,Central Asia,Asia,https://www.tajikistannews.net/,20220716
Rafael Caro Quintero: historic head of the Sinaloa cartel is captured,organized_crime,EL PA�S,Spain,Southern Europe,Europe,https://english.elpais.com/,20220716
Israel sentences Bedouin to 9 years for his part in mob attack against a Jewish driver during 2021 Gaza war (Haaretz),organized_crime,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220716
Illegal traders invade kapenta market,military_conflict,NewsDay,Zimbabwe,East Africa,Africa,https://www.newsday.co.zw/,20220716
The telescope and the war,military_conflict,Kyiv Post,Ukraine,Eastern Europe,Europe,https://www.kyivpost.com/,20220716
Uneasy calm prevails in parts of Karachi after flare-up in ethnic tensions,social_unrest,Dawn,Pakistan,South Asia,Asia,https://www.dawn.com/pakistan,20220716
"Missile crisis in Cuba, military and philosophical pitiyanquism of Rómulo Betancourt",terrorism,�ltimas Noticias,Venezuela,South America,Latin America,https://en.ultimasnoticias.com.ve/,20220716
A Soldier shoots himself in a shooting range,military_conflict,Arab Times,Kuwait,Middle East,MENA,http://www.arabtimesonline.com/news/#,20220716
Abducted army officer found dead,organized_crime,Dawn,Pakistan,South Asia,Asia,https://www.dawn.com/pakistan,20220716
"Will prayer reunite the Jopadhola, Iteso?",terrorism,The Daily Monitor,Uganda,East Africa,Africa,https://www.monitor.co.ug/,20220716
"Social cohesion vital to safeguarding S'pore against violent extremism, terrorist threats: Faishal",terrorism,The Straits Times,Singapore,Southeast Asia,Asia,https://www.straitstimes.com/singapore,20220716
TikTok user raising million-strong frog army accused of 'eco-terrorism',terrorism,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220716
Lessons from Sri Lanka’s economic crisis,terrorism,Gulf News,UAE,Middle East,MENA,https://gulfnews.com/,20220716
Sri Lanka's ousted president says he 'took all possible steps' to prevent crisis,regime_instability,The Express Tribune,Pakistan,South Asia,Asia,https://tribune.com.pk/,20220716
