Headline,Category,Name,Country,Region,Continent,Site,Collected
Mali: Former President Boubacar Keïta Dies in Bamako,None,Ethiopian Monitor,Ethiopia,East Africa,Africa,https://ethiopianmonitor.com/,20220117
Ministry bans external mocks for candidates,None,The Daily Monitor,Uganda,East Africa,Africa,https://www.monitor.co.ug/,20220117
Arts & Culture,None,Mail & Guardian,South Africa,South Africa,Africa,https://mg.co.za/,20220117
Delta Chief Judge frees four awaiting trial inmates in Warri prison,None,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220117
"APC govs' forum DG, Salihu Lukman, resigns amid national convention crisis",None,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220117
"Fatu Camara, CEO, The Fatu Network",None,The Standard,Gambia,West Africa,Africa,https://standard.gm/,20220117
Somalia’s miracle men eye more history,None,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220117
Rival groups clash at Murue coffee farmers’ meeting,None,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220117
“Disgraceful And Embarrassing”…Deputy Speaker Described Colleagues…,None,The Inquirer,Liberia,West Africa,Africa,https://www.theinquirernewspaper.com/,20220117
"Addis Ababa City Admin Starts Building 5,000 Prefabricated Houses",None,Ethiopian Monitor,Ethiopia,East Africa,Africa,https://ethiopianmonitor.com/,20220117
Samuel Eto’o accused by Spanish authorities of tax evasion,None,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220120
Libya PM says billions stolen from Libyans by several countries,None,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220120
Most difficult exams in the world,None,Gulf News,UAE,Middle East,MENA,https://gulfnews.com/,20220120
Biden questions if US midterm elections will be 'legit',None,Saudi Gazette,Saudi Arabia,Middle East,MENA,https://saudigazette.com.sa/,20220120
Windhoek doctor arrested on wildlife charges,None,The Namibian,Namibia,South Africa,Africa,https://www.namibian.com.na/,20220124
"After 20 years of visits, ICRC calls for transfers of eligible Guantanamo detainees",None,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220124
Flashflood: Banjul continues to face rising sea level threat,None,The Point,Gambia,West Africa,Africa,https://thepoint.gm/,20220124
Subscribe to eNation,None,The Nation,Malawi,East Africa,Africa,https://www.mwnation.com/,20220124
Biden’s Covid origins lab probe is politically motivated,None,Awoko Times,Sierra Leone,West Africa,Africa,https://awokonewspaper.sl/,20220124
"5G Network: No cause for alarm, Nigerian telecoms operators assure; US airlines call for delay in rollout near airports",None,Vanguard,Nigeria,West Africa,Africa,https://www.vanguardngr.com/,20220124
Djokovic leaving Australia after court dismisses deportation appeal,None,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220124
Five candidates announced for Libyan presidential contest,None,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220124
Khawaja frustrated by controversial Big Bash catch,None,Gulf News,UAE,Middle East,MENA,https://gulfnews.com/,20220124
"UAE deliver in style, Vietnam also through despite defeat",None,Saudi Gazette,Saudi Arabia,Middle East,MENA,https://saudigazette.com.sa/,20220124
"After raping and murdering a 22-month old, ex-MLB pitcher Sergio Mitre...",None,Mexico Daily Post,Mexico,North America,Latin America,https://mexicodailypost.com/,20220125
"AMLO proposes Campeche ex-governor, Carlos Miguel Aysa González, as ambassador to the Dominican Republic",None,Mexico Daily Post,Mexico,North America,Latin America,https://mexicodailypost.com/,20220125
Bogotá quarantine: Chapi under lockdown,None,The Bogot� Post,Colombia,South America,Latin America,https://thebogotapost.com/,20220125
Bogotá’s Teatro Mayor closes 2021 opera season with Tosca,None,The City Paper Bogot�,Colombia,South America,Latin America,https://thecitypaperbogota.com/,20220125
"Pristimantis lojanus, a new from species discovered just outside of Loja",None,The Cuenca Dispatch,Ecuador,South America,Latin America,https://thecuencadispatch.com/,20220125
Departamento 50: Chile’s Nazi hunters,None,Chile Today,Chile,South America,Latin America,https://chiletoday.cl/,20220126
So long to 2021... and hi to 2022,None,Buenos Aires Times,Argentina,South America,Latin America,https://www.batimes.com.ar/,20220126
Norton elected APNU Chairman after Granger stands down 7 h ago,None,Stabroek News,Guyana,South America,Latin America,https://www.stabroeknews.com/,20220126
"Cuba defends trials of protesters as fair, rejects accusations  of rights violations 8 h ago",None,Stabroek News,Guyana,South America,Latin America,https://www.stabroeknews.com/,20220126
Shameful that Norton being denied post of Opposition Leader,None,Stabroek News,Guyana,South America,Latin America,https://www.stabroeknews.com/,20220126
Chile hires Lasarte as coach ahead of World Cup qualifiers,None,Santiago Times,Chile,South America,Latin America,https://santiagotimes.cl/,20220126
NASA Finds Organic Salts Are Likely Present on Mars,None,The Tripoli Post,Libya,North Africa,MENA,https://www.thetripolipost.org/,20220126
Judo: Moroccan Sarah Harachi Wins Gold at European Open,None,Morocco Times,Morocco,North Africa,MENA,https://moroccotimes.tv/category/morocco-news/,20220126
UK pumps $10 million towards draught response in Somalia,None,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220127
"44-year-old man feared killed, three policemen shot as…",None,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220127
NDC MP’s Evidence In French,None,Daily Guide,Ghana,West Africa,Africa,https://dailyguidenetwork.com/,20220127
FG revenue shortfall put at N1.9trn in 11 months,None,Vanguard,Nigeria,West Africa,Africa,https://www.vanguardngr.com/,20220127
Arsenal distances itself from Ozil comments on Uighurs' treatment,None,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220127
Brazil’s Antarctic program turns 40,None,Rio Times,Brazil,South America,Latin America,https://www.riotimesonline.com/,20220128
"August 15,2021  | Hujjatullah Zia | opinion",None,The Daily Outlook Afghanistan,Afghanistan,South Asia,Asia,http://outlookafghanistan.net/,20220128
"Muttaqi in Iran to discuss political, economic issues",None,The Kabul Times,Afghanistan,South Asia,Asia,https://thekabultimes.gov.af/,20220128
Exclusive interview with French Ambassador to Kabul on…,None,The Kabul Times,Afghanistan,South Asia,Asia,https://thekabultimes.gov.af/,20220128
New Diamond and X-press Pearl incidents: Underhand  deals  spoiling compensation claims,None,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220128
"IOM Provides 167 Nigerians return assistance			Libya",None,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220129
Green Economy: Finance Law 2022 measures to have positive impact on energy balance,None,Tunis Daily News,Tunisia,North Africa,MENA,https://tdailynews.net/,20220129
Dakhla to Launch First Edition of GWA Wing foil World Tour on November,None,Morocco Times,Morocco,North Africa,MENA,https://moroccotimes.tv/category/morocco-news/,20220129
"Stocks in Sydney and Tokyo gain, U.S. dollar drifts lower",None,Tajikistan News,Tajikistan,Central Asia,Asia,https://www.tajikistannews.net/,20220129
This Mexican food changes lives,None,Kyiv Post,Ukraine,Eastern Europe,Europe,https://www.kyivpost.com/,20220130
How open data improves Ukrainians’ lives,None,Den,Ukraine,Eastern Europe,Europe,https://day.kyiv.ua/en/newspaper,20220130
Business and futuristic technologies: how to combine science with marketing,None,Den,Ukraine,Eastern Europe,Europe,https://day.kyiv.ua/en/newspaper,20220130
Covid-19: Enfermeiros do hospital do condado de Ventura denunciam o número “esmagador” de ataques cardíacos e coágulos sanguíneos ocorrendo em indivíduos totalmente vacinados,None,Rio Times,Brazil,South America,Latin America,https://www.riotimesonline.com/,20220130
Issues | LEARNING CURVE,None,Japan Times,Japan,East Asia,Asia,https://www.japantimes.co.jp/,20220131
Links to other country sites 다른 나라 사이트 링크,None,The Hankyoreh,South Korea,East Asia,Asia,https://english.hani.co.kr/,20220131
Sealed off: Inside the closed loop at the Beijing Winter Olympics,None,Japan Today,Japan,East Asia,Asia,https://japantoday.com/,20220131
Four Kisumu aspirants back one against Nyong’o,None,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220201
'Too much English' hinders Kenyans from watching TV,None,The Standard,Kenya,East Africa,Africa,https://www.standardmedia.co.ke/,20220201
JavaScript is disabled! Please enable JavaScript in your web browser!,None,The Standard,Kenya,East Africa,Africa,https://www.standardmedia.co.ke/,20220201
Covid-19: Dubai schools to ease some restrictions from Jan 31,None,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220201
‘Incredible’: Refugee girls  Join Africa football fiesta,None,Kuwait Times,Kuwait,Middle East,MENA,https://www.kuwaittimes.com/,20220201
Iran’s Shiraz city hosting migratory birds,None,Iran Front Page,Iran,Middle East,MENA,https://ifpnews.com/,20220201
"If JCPOA is revived, it will help end conflicts in West Asia: American expert",None,Tehran Times,Iran,Middle East,MENA,https://www.tehrantimes.com/,20220201
Dubai Police 999 hotline: Each officer handles up to 400 calls a day,None,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220201
"At up to $8,000/week, America’s travel nurses keep COVID-hit hospitals afloat",None,Kuwait Times,Kuwait,Middle East,MENA,https://www.kuwaittimes.com/,20220201
New UAE corporate tax: Top 10 questions answered,None,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220201
Man catches cricket ball dropped from nearly 400 feet for Guinness record,None,The Kabul Times,Afghanistan,South Asia,Asia,https://thekabultimes.gov.af/,20220201
Letter to Editor: Give Taiwan a voice at Model UN Conferences,None,Taiwan News,Taiwan,East Asia,Asia,https://www.taiwannews.com.tw/en/index,20220201
Domestic flights fully restored in Kazakhstan,None,Kazakhstan Today,Kazakhstan,Central Asia,Asia,https://www.kt.kz/eng,20220201
Barcelona beats Dynamo Kyiv 1-0: Home team fails to capitalize on Spanish giant’s …,None,Kyiv Post,Ukraine,Eastern Europe,Europe,https://www.kyivpost.com/,20220201
In just a few days!,None,Den,Ukraine,Eastern Europe,Europe,https://day.kyiv.ua/en/newspaper,20220201
"'I Am the Prophet of the Apocalypse', Says Brazilian 1st Chess Grandmaster",None,Folha International,Brazil,South America,Latin America,https://www1.folha.uol.com.br/internacional/en/,20220202
Covid vaccination numbers still low despite advocacy,None,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220203
Kindly click the button below to give us your feedback. Thank you!,None,The Standard,Kenya,East Africa,Africa,https://www.standardmedia.co.ke/,20220203
Juliani and Lillian Ng'ang'a tie knot in private ceremony,None,The Standard,Kenya,East Africa,Africa,https://www.standardmedia.co.ke/,20220203
Algerian FM: Reconciliation must evolve to end Libya’s conflicts,None,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220203
Handicraft / COVID-19: profit tax made in 2020 will be paid in five equal instalments,None,Tunis Daily News,Tunisia,North Africa,MENA,https://tdailynews.net/,20220203
Samsung Opens 3 New Stores in Meknes4 Tamara and Marrakech,None,Morocco Times,Morocco,North Africa,MENA,https://moroccotimes.tv/category/morocco-news/,20220203
Top Middle East News,None,Gulf News,UAE,Middle East,MENA,https://gulfnews.com/,20220203
Turmoil worries Peru as president again overhauls Cabinet,None,Taiwan News,Taiwan,East Asia,Asia,https://www.taiwannews.com.tw/en/index,20220204
ALMATY TRAGEDY | JANUARY 2022,None,Kazakhstan Today,Kazakhstan,Central Asia,Asia,https://www.kt.kz/eng,20220204
Ujjwal Bikram Thapa is not stopping anytime soon,None,Kathmandu Post,Nepal,South Asia,Asia,https://kathmandupost.com/,20220204
"Lincoln's Dilemma trailer: Jeffrey Wright, Leslie Odom Jr feature in this examination of Abraham Lincoln's rare side for Apple TV+",None,Hindustan Times,India,South Asia,Asia,https://www.hindustantimes.com/,20220204
Taiwan VP tests negative for COVID after meeting Belize premier in Honduras,None,Taiwan News,Taiwan,East Asia,Asia,https://www.taiwannews.com.tw/en/index,20220204
Editorial: Stop the sale,None,Kyiv Post,Ukraine,Eastern Europe,Europe,https://www.kyivpost.com/,20220204
Regional investment fund in medical technologies launched in Sfax,None,Tunis Daily News,Tunisia,North Africa,MENA,https://tdailynews.net/,20220204
2022 World Cup Qualifiers (Day 2/Update): Morocco Qualifies for Playoffs after Beating Guinea (4-1),None,Morocco Times,Morocco,North Africa,MENA,https://moroccotimes.tv/category/morocco-news/,20220204
"Covid in UAE: Now, no PCR test needed to get green status on Al Hosn app",None,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220204
Architecturally-stunning Assima Mall opens to public,None,Kuwait Times,Kuwait,Middle East,MENA,https://www.kuwaittimes.com/,20220204
Paulo Mendes da Rocha leaves behind incomparable legacy in Brazilian architecture,None,The Brazilian Report,Brazil,South America,Latin America,https://brazilian.report/,20220204
Retail Sales Growth Accelerates to 6.2% in December,None,Hungary Today,Hungary,Eastern Europe,Europe,https://hungarytoday.hu/,20220205
Why Should You Use Aluminum Bottles in your Business?,None,Prague Post,Czechia,Eastern Europe,Europe,https://www.praguepost.com/,20220205
Interview of the week,None,Total Croatia News,Croatia,Southern Europe,Europe,https://www.total-croatia-news.com/news,20220205
Greece Leads Opening Ceremony of Beijing Winter Olympic Games,None,Greek News,Greece,Southern Europe,Europe,https://greekreporter.com/greek-news/,20220205
Husband builds a rotating house so his wife can enjoy better views,None,Euro News (Bosnia and Herzegovina),Bosnia and Herzegovina,Southern Europe,Europe,https://www.euronews.com/tag/bosnia-and-herzegovina,20220205
"No coronavirus in Poland, but Krakow hospitals prepare",None,Krakow Post,Poland,Eastern Europe,Europe,http://www.krakowpost.com/,20220207
Striking a work-life balance: a female journalist's predicament,None,Antara News,Indonesia,Southeast Asia,Asia,https://en.antaranews.com/,20220207
AU calls for political solution to conflict in northern Ethiopia,None,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220207
