Headline,Category,Name,Country,Region,Continent,Site,Collected
UPDATE: Al Shabab claims suicide attack in Mogadishu,terrorism,Mareeg,Somalia,East Africa,Africa,https://mareeg.com/news/somalia/,20220117
"Terrorists killed in fresh Katsina attack, say police",terrorism,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220117
Eritrea: A Conveyer Belt Supplying Mercenaries,regime_instability,Awate,Eritrea,East Africa,Africa,http://awate.com/,20220117
"Again, terrorists kill 3; kidnap 28, demand for soft drinks, gallons of petrol as ransom in Niger",terrorism,Vanguard,Nigeria,West Africa,Africa,https://www.vanguardngr.com/,20220117
Goma residents protest deployment of Rwandese policemen in DR Congo,social_unrest,The Rwandan,Rwanda,East Africa,Africa,https://www.therwandan.com/,20220117
Former U.S. envoys alarmed by violence and hate speech in Ethiopia,social_unrest,Asmarino,Eritrea,East Africa,Africa,https://www.therwandan.com/,20220117
Cagjar pushes Somalia to support war against TPLF in Ethiopia,military_conflict,Garowe Online,Somalia,East Africa,Africa,https://www.therwandan.com/,20220117
"Zamfara rural communities at mercy of brutal terror attacks, demand more troops",terrorism,The Punch,Nigeria,West Africa,Africa,https://www.therwandan.com/,20220117
Fear of terror in Edo community as Illegal gold miners from the North…,organized_crime,Nigerian Tribune,Nigeria,West Africa,Africa,https://www.therwandan.com/,20220117
Three arrested for human trafficking charges,organized_crime,Muscat Daily,Oman,Middle East,MENA,https://www.therwandan.com/,20220120
Egyptian media tycoon Mohamed El-Amin detained 4 days over human trafficking charges,organized_crime,Ahram Online,Egypt,North Africa,MENA,https://www.therwandan.com/,20220120
"Houthi terror attack on Abu Dhabi will not go unpunished, says UAE",military_conflict,Khaleej Times,UAE,Middle East,MENA,https://www.therwandan.com/,20220120
Vehicles burned in al Shabab attack in Kenya’s Lamu,terrorism,Mareeg,Somalia,East Africa,Africa,https://www.therwandan.com/,20220124
"Schools becoming killing, kidnapping centres —ACF",organized_crime,Nigerian Tribune,Nigeria,West Africa,Africa,https://www.therwandan.com/,20220124
UAE shoots down 2 missiles fired by Houthi terror group over Abu Dhabi,terrorism,Khaleej Times,UAE,Middle East,MENA,https://www.therwandan.com/,20220124
Settler attack against Burin was ‘organized terror’ incident - Bar Lev,terrorism,The Jerusalem Post,Israel,Middle East,MENA,https://www.therwandan.com/,20220124
Tear gas fired at Sudan protesters rallying against post-coup killings,social_unrest,Jordan Times,Jordan,Middle East,MENA,https://www.therwandan.com/,20220124
Thousands protest in Sudan against military rule,social_unrest,Arab News,Saudi Arabia,Middle East,MENA,https://www.therwandan.com/,20220124
"Daesh steps up attacks in Iraq, Syria",terrorism,Tehran Times,Iran,Middle East,MENA,https://www.therwandan.com/,20220124
PKK exploits out-of-school activities to recruit children,terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.therwandan.com/,20220124
"One person shot dead, police officers injured in student protest",social_unrest,The Standard,Kenya,East Africa,Africa,https://www.therwandan.com/,20220125
Burkina Faso army deposes president in West Africa’s latest coup,military_conflict,NewsDay,Zimbabwe,East Africa,Africa,https://www.therwandan.com/,20220125
Burkina Faso's President Kabore arrested by mutinous soldiers,military_conflict,The Citizen,Tanzania,East Africa,Africa,https://www.therwandan.com/,20220125
Violent day in Zacatecas leaves 14 murders and 11 kidnappings,organized_crime,Mexico Daily Post,Mexico,North America,Latin America,https://www.therwandan.com/,20220125
"Cartel shoots and burns houses in Fresnillo, at least 10 people have been reported missing",organized_crime,Mexico Daily Post,Mexico,North America,Latin America,https://www.therwandan.com/,20220125
Footage shows Mexican cartel dropping bombs on rivals with a drone in Veracruz,organized_crime,Mexico Daily Post,Mexico,North America,Latin America,https://www.therwandan.com/,20220125
Tensions in Colombia rise after ELN bomb injures police in Cali,terrorism,Colombia Reports,Colombia,South America,Latin America,https://www.therwandan.com/,20220125
Guerrilla terror triggers curfew in northeast Colombia,terrorism,Colombia Reports,Colombia,South America,Latin America,https://www.therwandan.com/,20220125
Can renegade guerrillas reignite a war?,terrorism,The Bogot� Post,Colombia,South America,Latin America,https://www.therwandan.com/,20220125
Anti-war protests erupt in northeast Colombia,social_unrest,Colombia Reports,Colombia,South America,Latin America,https://www.therwandan.com/,20220125
The United States is concerned about ‘narco generals’ and drug trafficking in Ecuador,organized_crime,The Cuenca Dispatch,Ecuador,South America,Latin America,https://www.therwandan.com/,20220125
"Saturday’s battle among Ecuador prison gangs killed 68 inmates, injured 25 more",organized_crime,The Cuenca Dispatch,Ecuador,South America,Latin America,https://www.therwandan.com/,20220125
Merino government crumbles following two deaths in protest marches,social_unrest,Peruvian Times,Peru,South America,Latin America,https://www.therwandan.com/,20220125
Lasso says that there is talk of a ‘Plan Ecuador’ to fight drug trafficking,organized_crime,The Cuenca Dispatch,Ecuador,South America,Latin America,https://www.therwandan.com/,20220125
The United States is concerned about ‘narco generals’ and drug trafficking in Ecuador,organized_crime,The Cuenca Dispatch,Ecuador,South America,Latin America,https://www.therwandan.com/,20220125
Merino government crumbles following two deaths in protest marches,organized_crime,Peruvian Times,Peru,South America,Latin America,https://www.therwandan.com/,20220125
The violent drug trafficking hotspot on the Paraguay-Brazil border,organized_crime,The Brazilian Report,Brazil,South America,Latin America,https://www.therwandan.com/,20220126
"CARDH: From January to date, more than 900 cases of kidnapping recorded",organized_crime,Hebdo 24,Haiti,Caribbean,Latin America,https://www.therwandan.com/,20220126
COVID-19 fuelling human trafficking,organized_crime,Jamaica Gleaner,Jamaica,Caribbean,Latin America,https://www.therwandan.com/,20220126
32 dead in South Sudan interethnic violence — UN,social_unrest,Jordan Times,Jordan,Middle East,MENA,https://www.therwandan.com/,20220126
US-backed SDF militia raids neighborhoods and villages in Hasakah  and kidnaps civilians,military_conflict,Syria Times,Syria,Middle East,MENA,https://www.therwandan.com/,20220126
Thousands of Sudanese brave tear gas to protest military rule,social_unrest,The Daily Monitor,Uganda,East Africa,Africa,https://www.therwandan.com/,20220127
Driver who died in human trafficking case was KDF soldier: Police,organized_crime,Daily Nation,Kenya,East Africa,Africa,https://www.therwandan.com/,20220127
Freewheeling gangs terrorise Isiolo traders,organized_crime,Daily Nation,Kenya,East Africa,Africa,https://www.therwandan.com/,20220127
Sudanese rally against UN bid to resolve post-coup crisis,social_unrest,The Citizen,Tanzania,East Africa,Africa,https://www.therwandan.com/,20220127
"Hoodlums invade Ogun community, kill guard, loot houses",organized_crime,The Punch,Nigeria,West Africa,Africa,https://www.therwandan.com/,20220127
SNA troops seize villages from Al-Shabaab in central Somalia,terrorism,Garowe Online,Somalia,East Africa,Africa,https://www.therwandan.com/,20220127
Suspected rebels   kill ECOMIG soldier in Foni shooting,terrorism,The Point,Gambia,West Africa,Africa,https://www.therwandan.com/,20220127
"Two helicopters belonging to Brazilian environmental protection agency Ibama were torched this week, allegedly in protest by illegal miners. But, amid a process of dismantling the country's environmental oversight, the agency tried to cover up the attack",social_unrest,The Brazilian Report,Brazil,South America,Latin America,https://www.therwandan.com/,20220128
"Terror incidents may rise in Pakistan in next two months, fears Sheikh Rasheed",terrorism,The News International,Pakistan,South Asia,Asia,https://www.therwandan.com/,20220128
Accused in Dua Mangi kidnapping case escapes from police custody in Karachi,organized_crime,Dawn,Pakistan,South Asia,Asia,https://www.therwandan.com/,20220128
10 soldiers martyred in terrorist attack on checkpost in Balochistan's Kech: ISPR,terrorism,Dawn,Pakistan,South Asia,Asia,https://www.therwandan.com/,20220128
Balochistan: 10 soldiers embrace martyrdom in terrorist attack,terrorism,The News International,Pakistan,South Asia,Asia,https://www.therwandan.com/,20220128
Retired British general: Afghanistan on cusp of becoming terrorists’ hotbed in wake of West’s failed war,terrorism,Afghanistan Times,Afghanistan,South Asia,Asia,https://www.therwandan.com/,20220128
Kabul-Based Think Tank; Afghanistan election in the grip of turmoil,social_unrest,Afghanistan Times,Afghanistan,South Asia,Asia,https://www.therwandan.com/,20220128
Terror hits Pak: 10 soldiers killed in attack on army check post in Balochitan,terrorism,Hindustan Times,India,South Asia,Asia,https://www.therwandan.com/,20220128
SDF militia raids several villages and kidnaps a number of citizens in the countryside of Raqqa and Deir Ezzour,organized_crime,Syria Times,Syria,Middle East,MENA,https://www.therwandan.com/,20220129
"Dubai: 5 jailed for kidnapping, forcing businessman to transfer Dh2.5 million in digital coins",organized_crime,Khaleej Times,UAE,Middle East,MENA,https://www.therwandan.com/,20220129
5 YPG/PKK terrorists killed after infiltration attempt in Syria,terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.therwandan.com/,20220129
Tunisia thwarts alleged terrorist attack targeting tourist areas,terrorism,Gulf Today,UAE,Middle East,MENA,https://www.therwandan.com/,20220129
Syria Kurds hunt down terrorists after prison attack,terrorism,Jordan Times,Jordan,Middle East,MENA,https://www.therwandan.com/,20220129
Palestinian online campaign accuses Hamas of ‘kidnapping’ Gaza,social_unrest,The Jerusalem Post,Israel,Middle East,MENA,https://www.therwandan.com/,20220129
Iraq: Rockets hit Baghdad airport,terrorism,Gulf News,UAE,Middle East,MENA,https://www.therwandan.com/,20220129
Tajik authorities say 2 people killed in Thursday border clash with Kyrgyzstan,military_conflict,Tajikistan News,Tajikistan,Central Asia,Asia,https://www.therwandan.com/,20220129
Tajik-Kyrgyz negotiations in Chorkuh over the border clashes result in vain,military_conflict,Asia Plus,Tajikistan,Central Asia,Asia,https://www.therwandan.com/,20220129
Iran-Afghanistan water dispute: Iranian protesters attack Afghan vehicles in Sistan-Baluchestan,social_unrest,Tajikistan News,Tajikistan,Central Asia,Asia,https://www.therwandan.com/,20220129
"Day six of Kazakhstan’s unrest  Police are ordered to shoot to kill, the president doubles down on ‘terrorists and killers’ rhetoric, and rumors spread about Nazarbayev",social_unrest,Meduza,Russia,Eastern Europe,Europe,https://www.therwandan.com/,20220130
An uprising in Kazakhstan Nazarbayev is removed from nation’s Security Council as state authorities vow ‘extreme’ police response to protests,social_unrest,Meduza,Russia,Eastern Europe,Europe,https://www.therwandan.com/,20220130
Protesters tear down Nazarbayev monument in Kazakhstan,social_unrest,Meduza,Russia,Eastern Europe,Europe,https://www.therwandan.com/,20220130
Venezuela detains ruling party mayor over drug trafficking,organized_crime,Stabroek News,Guyana,South America,Latin America,https://www.therwandan.com/,20220130
Hwasong-12 test signals troubling new phase in North Korea’s missile programs,military_conflict,NK News,North Korea,East Asia,Asia,https://www.therwandan.com/,20220131
TAIPEI (Taiwan News) — Five Chinese military planes entered Taiwan’s...,military_conflict,Taiwan News,Taiwan,East Asia,Asia,https://www.therwandan.com/,20220131
"N. Korea confirms test-firing of Hwasong-12 intermediate-range ballistic missile
related article",military_conflict,Yonhap News Agency,North Korea,East Asia,Asia,https://www.therwandan.com/,20220131
North Korea confirms launch of longest-range missile since 2017,military_conflict,NK News,North Korea,East Asia,Asia,https://www.therwandan.com/,20220131
10 Chinese military planes enter Taiwan's ADIZ,military_conflict,Focus Taiwan,Taiwan,East Asia,Asia,https://www.therwandan.com/,20220131
North Korea fires intermediate-range ballistic missile: JCS,military_conflict,NK News,North Korea,East Asia,Asia,https://www.therwandan.com/,20220131
Umzinto community activist claim residents were shot at during peaceful protest about on-going water shortages,social_unrest,IOL Daily News,South Africa,South Africa,Africa,https://www.iol.co.za/dailynews,20220201
War in Mozambique follows those who fled from the coast,military_conflict,Mail & Guardian,South Africa,South Africa,Africa,https://mg.co.za/,20220201
Bomb last in Kenya leaves 10 dead following Terror Threat Warning,terrorism,Garowe Online,Somalia,East Africa,Africa,https://www.garoweonline.com/en,20220201
"UAE Forces Say They Intercepted Houthi Missile Strike, the Third Attack this Month",military_conflict,Kataeb.org,Lebanon,Middle East,MENA,https://kataeb.org/en,20220201
"UAE intercepts, destroys  missile in third attack launched by Houthis",military_conflict,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220201
Bedouin Protest in Jerusalem Demands End of 'Neglect' in Israel's South,social_unrest,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220201
Yemen’s Houthi launched missile attack on vital militry base,military_conflict,Libyan Express,Libya,North Africa,MENA,https://www.libyanexpress.com/,20220201
UAE intercepts ballistic missile during Israeli president's visit,military_conflict,Saudi Gazette,Saudi Arabia,Middle East,MENA,https://saudigazette.com.sa/,20220201
UAE intercepts ballistic missile fired from Yemen,military_conflict,Qatar Tribune,Qatar,Middle East,MENA,https://www.qatar-tribune.com/,20220201
Airstrike on Yemen prison leaves at least 70 dead,military_conflict,Muscat Daily,Oman,Middle East,MENA,https://www.muscatdaily.com/,20220201
Syria Reports Israeli Missile Barrage Near Damascus,military_conflict,Hamodia,Israel,Middle East,MENA,https://hamodia.com/category/israel-news/,20220201
New Israeli missile barrage near Damascus,military_conflict,Saudi Gazette,Saudi Arabia,Middle East,MENA,https://saudigazette.com.sa/,20220201
Daesh terror threat returns to region as attacks rise,terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220201
Video: UAE destroys Houthi missile launch site in Yemen,military_conflict,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220201
"YPG/PKK forcefully holds abducted children, indoctrinates them",terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220201
Protester Killed in Anti-coup Demonstrations as Thousands Take to the Streets in Sudan,social_unrest,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220201
Sudanese anti-coup protester killed in security crackdown,social_unrest,Jordan Times,Jordan,Middle East,MENA,https://www.jordantimes.com/,20220201
North Korea tests missiles — and China's patience — on eve of Winter Olympics,military_conflict,NK News,North Korea,East Asia,Asia,https://www.nknews.org/,20220201
"Anti-India protests in mind, Maldives plans new law to curb unrest",social_unrest,Indian Express,India,South Asia,Asia,https://indianexpress.com/section/india/,20220201
North Korea test-fires most powerful missile since 2017North…,military_conflict,The Kabul Times,Afghanistan,South Asia,Asia,https://thekabultimes.gov.af/,20220201
Maha students’ protest: ‘Instigator’ Hindustani Bhau put behind bars,social_unrest,Hindustan Times,India,South Asia,Asia,https://www.hindustantimes.com/,20220201
5 Chinese military planes enter Taiwan’s ADIZ,military_conflict,Taiwan News,Taiwan,East Asia,Asia,https://www.taiwannews.com.tw/en/index,20220201
North Korea test-fires most powerful missile since…,military_conflict,The Kabul Times,Afghanistan,South Asia,Asia,https://thekabultimes.gov.af/,20220201
Myanmar protesters defy junta with strike and clapping protests on coup anniversary,social_unrest,The Hindu,India,South Asia,Asia,https://www.thehindu.com/,20220201
Myanmar activists vow to defy junta with strike on coup anniversary,social_unrest,The Express Tribune,Pakistan,South Asia,Asia,https://tribune.com.pk/,20220201
‘Blood was supposed to be shed’ Ukrainian police arrest two suspects over alleged plot to orchestrate violent unrest in Kyiv and regions near border with Russia,social_unrest,Meduza,Russia,Eastern Europe,Europe,https://meduza.io/en,20220201
Gallows appear in Prague protest against pandemic law,social_unrest,Radio Prague International,Czechia,Eastern Europe,Europe,https://english.radio.cz/,20220201
8 alleged members of Rouvikonas anarchists arrested for attack on Attiki Odos building,regime_instability,Keep Talking Greece,Greece,Southern Europe,Europe,https://www.keeptalkinggreece.com/,20220201
Restaurant gang dedicated to stealing from diners detected in Puerto Vallarta,organized_crime,Mexico Daily Post,Mexico,North America,Latin America,https://mexicodailypost.com/,20220202
Heavy gunfire near Presidential Palace in Guinea Bissau amid fear of coup,terrorism,Nigerian Tribune,Nigeria,West Africa,Africa,https://tribuneonlineng.com/,20220203
"Six killed in failed coup in Guinea-Bissau, president sees link to drug",terrorism,The Point,Gambia,West Africa,Africa,https://thepoint.gm/,20220203
6 killed in failed Guinea Bissau coup,terrorism,The Standard,Gambia,West Africa,Africa,https://standard.gm/,20220203
Guinea Bissau: 11 killed in ‘failed coup attempt’,terrorism,The Citizen,Tanzania,East Africa,Africa,https://www.thecitizen.co.tz/,20220203
Guinea Bissau says 11 killed in ‘failed coup attempt’,terrorism,Daily Nation,Kenya,East Africa,Africa,https://nation.africa/kenya,20220203
"Ogun students protesting abductions stone police vans, barricade highway",social_unrest,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220203
"Report: Iran adds smaller, longer-ranged member to its Fateh missiles",military_conflict,Iran Front Page,Iran,Middle East,MENA,https://ifpnews.com/,20220203
"Biden Says U.S. Killed ISIS Leader in Rare Syria Operation ISIS Leader Killed in Syria Commando Operation Overnight, Biden Announces",terrorism,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220203
"Dubai: Four jailed for kidnapping, assaulting, robbing man over Dh5,000 debt",organized_crime,Khaleej Times,UAE,Middle East,MENA,https://www.khaleejtimes.com/uae,20220203
Biden says ISIS leader Quraishi killed in Syria raid,terrorism,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220203
Biden says Daesh leader killed in US military raid in Syria,terrorism,Gulf Today,UAE,Middle East,MENA,https://www.gulftoday.ae/,20220203
Parents protest as kids' photos used to promote flesh trade in Bahrain,organized_crime,Daily Tribune,Bahrain,Middle East,MENA,https://www.newsofbahrain.com/,20220203
"US-backed YPG commits war crimes against civilians, opposition says",terrorism,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220203
North Korea tests missiles — and China’s patience — on eve of Winter Olympics,military_conflict,NK News,North Korea,East Asia,Asia,https://www.nknews.org/,20220204
US says it will ‘show commitment’ to allies in response to North Korean missiles,military_conflict,NK News,North Korea,East Asia,Asia,https://www.nknews.org/,20220204
"After flurry of missile tests, Kim Jong Un says ties with China ‘unbreakable’",military_conflict,NK News,North Korea,East Asia,Asia,https://www.nknews.org/,20220204
Hindus protest police failure to arrest Daharki trader’s killers in Larkana,social_unrest,Dawn,Pakistan,South Asia,Asia,https://www.dawn.com/pakistan,20220204
"Terrorists who attacked security forces camps in Nushki, Panjgur had links with handlers in Afghanistan, India: army",terrorism,Dawn,Pakistan,South Asia,Asia,https://www.dawn.com/pakistan,20220204
"Balochistan terror attacks' handlers in Afghanistan, India: ISPR",terrorism,Dawn,Pakistan,South Asia,Asia,https://www.dawn.com/pakistan,20220204
Non-enforcement of security plan blamed for rising terrorism,terrorism,Dawn,Pakistan,South Asia,Asia,https://www.dawn.com/pakistan,20220204
"7 Pakistani soldiers, 13 terrorists killed in clash in Balochistan",terrorism,Tajikistan News,Tajikistan,Central Asia,Asia,https://www.tajikistannews.net/,20220204
2 Women Activists Detained Within Past Two-Days,regime_instability,Afghanistan Times,Afghanistan,South Asia,Asia,https://www.afghanistantimes.af/,20220204
‘We will pursue you until we cut off your heads’ Chechnya reports massive protest against the family of anti-torture activist,social_unrest,Meduza,Russia,Eastern Europe,Europe,https://meduza.io/en,20220204
"Turkish airstrikes in Syria and Iraq and their impact on religious, ethnic minorities",military_conflict,eKathimerini,Greece,Southern Europe,Europe,https://www.ekathimerini.com/,20220204
Islamic State leader Quraishi killed in Syria raid says Biden,terrorism,Gulf Daily News,Bahrain,Middle East,MENA,https://www.gdnonline.com/GroupSection/News,20220204
"ISIL leader blows up self, family as US attacks Syria hideout",terrorism,H�rriyet Daily News,Turkey,Middle East,MENA,https://www.hurriyetdailynews.com/,20220204
At least nine terrorists killed in cross-border op,terrorism,H�rriyet Daily News,Turkey,Middle East,MENA,https://www.hurriyetdailynews.com/,20220204
SDF kidnaps 13 civilians in Raqqa city and its countryside,regime_instability,Syria Times,Syria,Middle East,MENA,http://syriatimes.sy/index.php/news/national,20220204
