Headline,Score,Name,Country,Region,Continent,Site,Collected
"4 terrorists arrested, arms seized in Wardak",3.86,The Kabul Times,Afghanistan,South Asia,Asia,https://thekabultimes.gov.af/,20220831
Why Palestinian Islamic Jihad Rockets Kill So Many Palestinians,3,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220831
How al Shabaab attacks have spurred investment in police,2,The Star,Kenya,East Africa,Africa,https://www.the-star.co.ke/,20220831
8 Daesh terrorist suspects arrested in northern Türkiye's Samsun,1.67,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
Ultra-Orthodox Extremists Assault Woman for Sitting at Front of Jerusalem Bus,1.64,Haaretz,Israel,Middle East,MENA,https://www.haaretz.com/,20220831
Radical politics and Pakistan,1.5,The Express Tribune,Pakistan,South Asia,Asia,https://tribune.com.pk/,20220831
GIMMICKS IN FUEL CRISIS,1.5,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220831
Crisis helped us innovate,1.5,Daily Mirror,Sri Lanka,South Asia,Asia,https://www.dailymirror.lk/,20220831
Al Qaeda leader Zawahiri killed in U.S. drone strike 11:35 | 02.08.22,1.5,Republika English,North Macedonia,Southern Europe,Europe,https://english.republika.mk/,20220831
An escalating currency crisis is threatening a touchstone of Buenos Aires life: coffee.,1.38,Buenos Aires Times,Argentina,South America,Latin America,https://www.batimes.com.ar/,20220831
A prominent terrorist cadre killed by security forces in North Sinai’s El-Arish: Sources,1.38,Ahram Online,Egypt,North Africa,MENA,https://english.ahram.org.eg/Portal/1/Egypt.aspx,20220831
"'Türkiye expects deportation of terror suspects, not other crimes'",1.33,Daily Sabah,Turkey,Middle East,MENA,https://www.dailysabah.com/politics,20220831
"AmaZulu, Pirates secure semi-final berths",1.2,Namibian Sun,Namibia,South Africa,Africa,https://www.namibiansun.com/,20220831
Fossil fuels causing cost-of-living crisis,1.2,Kuwait Times,Kuwait,Middle East,MENA,https://www.kuwaittimes.com/,20220831
Bus shooting terrorism suspects arrested by Israeli forces,1.12,The Jerusalem Post,Israel,Middle East,MENA,https://www.jpost.com/,20220831
Why FG must name terrorism financiers - Peter Obi,1,The Punch,Nigeria,West Africa,Africa,https://punchng.com/,20220831
Gaza Aid Worker Sentenced to 12 Years For Terrorism,1,Hamodia,Israel,Middle East,MENA,https://hamodia.com/category/israel-news/,20220831
Narcoterrorism in Ecuador grows with more and more shocking events,0.9,The Cuenca Dispatch,Ecuador,South America,Latin America,https://thecuencadispatch.com/,20220831
